time_iso8601,forks_cumulative
2023-03-16 00:00:00+00:00,1
2023-03-17 00:00:00+00:00,2
2023-03-18 00:00:00+00:00,4
2023-03-20 00:00:00+00:00,5
2023-03-28 00:00:00+00:00,7
2023-03-29 00:00:00+00:00,10
2023-03-30 00:00:00+00:00,13
2023-03-31 00:00:00+00:00,17
2023-04-01 00:00:00+00:00,23
2023-04-02 00:00:00+00:00,99
2023-04-03 00:00:00+00:00,349
2023-04-04 00:00:00+00:00,586
2023-04-05 00:00:00+00:00,848
2023-04-06 00:00:00+00:00,1131
2023-04-07 00:00:00+00:00,1437
2023-04-08 00:00:00+00:00,1713
2023-04-09 00:00:00+00:00,1962
2023-04-10 00:00:00+00:00,2277
2023-04-11 00:00:00+00:00,2694
2023-04-12 00:00:00+00:00,3648
2023-04-13 00:00:00+00:00,5343
2023-04-14 00:00:00+00:00,7261
2023-04-15 00:00:00+00:00,8560
2023-04-16 00:00:00+00:00,9627
2023-04-17 00:00:00+00:00,10975
2023-04-18 00:00:00+00:00,11903
2023-04-19 00:00:00+00:00,12576
2023-04-20 00:00:00+00:00,13170
2023-04-21 00:00:00+00:00,13668
2023-04-22 00:00:00+00:00,14076
2023-04-23 00:00:00+00:00,14692
2023-04-24 00:00:00+00:00,16009
2023-04-25 00:00:00+00:00,16983
2023-04-26 00:00:00+00:00,17606
2023-04-27 00:00:00+00:00,18437
2023-04-28 00:00:00+00:00,18944
2023-04-29 00:00:00+00:00,19249
2023-04-30 00:00:00+00:00,19524
2023-05-01 00:00:00+00:00,19798
2023-05-02 00:00:00+00:00,20073
2023-05-03 00:00:00+00:00,20381
2023-05-04 00:00:00+00:00,20715
2023-05-05 00:00:00+00:00,20999
2023-05-06 00:00:00+00:00,21292
2023-05-07 00:00:00+00:00,21515
2023-05-08 00:00:00+00:00,21740
2023-05-09 00:00:00+00:00,21931
2023-05-10 00:00:00+00:00,22124
2023-05-11 00:00:00+00:00,22283
2023-05-12 00:00:00+00:00,22427
2023-05-13 00:00:00+00:00,22542
2023-05-14 00:00:00+00:00,22674
2023-05-15 00:00:00+00:00,22819
2023-05-16 00:00:00+00:00,22954
2023-05-17 00:00:00+00:00,23085
2023-05-18 00:00:00+00:00,23212
2023-05-19 00:00:00+00:00,23325
2023-05-20 00:00:00+00:00,23422
2023-05-21 00:00:00+00:00,23501
2023-05-22 00:00:00+00:00,23669
2023-05-23 00:00:00+00:00,23784
2023-05-24 00:00:00+00:00,23896
2023-05-25 00:00:00+00:00,24015
2023-05-26 00:00:00+00:00,24128
2023-05-27 00:00:00+00:00,24211
2023-05-28 00:00:00+00:00,24280
2023-05-29 00:00:00+00:00,24363
2023-05-30 00:00:00+00:00,24449
2023-05-31 00:00:00+00:00,24533
2023-06-01 00:00:00+00:00,24587
2023-06-02 00:00:00+00:00,24659
2023-06-03 00:00:00+00:00,24735
2023-06-04 00:00:00+00:00,24792
2023-06-05 00:00:00+00:00,24889
2023-06-06 00:00:00+00:00,24971
2023-06-07 00:00:00+00:00,25039
2023-06-08 00:00:00+00:00,25112
2023-06-09 00:00:00+00:00,25174
2023-06-10 00:00:00+00:00,25217
2023-06-11 00:00:00+00:00,25273
